choiceId,eventId,label,check,successText,failText,successEffects,failEffects,gotoStep,endStory
bully_help,bully_fight,挺身而出,str>=5,你挡住了对方，同学感激地看着你。,你冲上去却被推倒，鼻子青了一块。,str+1;luck+1,str-1,,
bully_ignore,bully_fight,装作没看见,,校园继续吵闹，你低头走开了。,,int+0,,,
sports_run,sports_day,全力冲刺,str>=6,你在最后一棒反超，观众席爆发出欢呼。,你拼尽全力仍慢半步，但没有遗憾。,str+1;luck+1;buff:athletic,str+1,,
sports_watch,sports_day,当拉拉队,,你在场边喊到嗓子哑，也算参与其中。,,luck+1,,,
gk_mock_fight,gk_mock_exam,咬牙加练,int>=6,你把弱项一点点补起来，心里踏实了些。,越学越慌，但至少没有放弃。,int+1,luck+1,,
gk_mock_accept,gk_mock_exam,先稳住心态,,你告诉自己：模考不是终点。,,luck+1,,,
gk_result_college,gk_result,冲刺理想院校,int>=7,分数够了，录取通知书仿佛近在眼前。,差了一点，你开始考虑调剂与下一批选择。,int+1;tag:gaokao_good;tag:gaokao_done,tag:gaokao_done,,1
gk_result_work,gk_result,先就业再图发展,,你决定先工作，把人生换成另一条赛道。,,tag:gaokao_done;str+1,,,1
startup_join,startup_idea,一起干,luck>=7,项目居然做起来了，你迎来高光时刻。,项目失败，你赔进时间与积蓄。,family+2;luck+1;tag:startup_ok,family-2;tag:startup_fail,,
startup_refuse,startup_idea,稳妥拒绝,,朋友后来联系渐少，你守住了安稳。,,family+0,,,
gamble_play,gamble_night,坐下试试,luck>=7,今晚你赢了不少，心里却有点发虚。,牌运很差，钱像水一样流走。,family+1;luck+1,family-2;luck-1,,
gamble_leave,gamble_night,婉拒离开,,你提早回家，夜风很干净。,,luck+1,,,
midlife_change,midlife_crisis,换一条路试试,int>=6,你开始副业与学习，生活重新有了锋芒。,尝试并不顺利，但你至少动起来了。,int+1;luck+1;buff:reinvent,str+1,,
midlife_accept,midlife_crisis,接纳当下,,你泡了杯茶，决定把眼前的日子过好。,,luck+1;family+1,,,
invest_yes,invest_chance,投入一笔,luck>=6;family>=6,投资回报不错，家里宽裕了些。,项目踩雷，你损失了一笔钱。,family+2,family-2,,
invest_no,invest_chance,按兵不动,,你把钱放在更稳妥的地方。,,family+0,,,
supermarket_shout,supermarket_lost,原地大喊,,你一喊家人就从货架后探出头来。,,luck+1,,,
supermarket_walk,supermarket_lost,自己找出口,luck>=4,你摸到门口保安把你送了回去。,你越走越远最后是广播在叫你的名字。,int+1,luck-1,,
crush_yes,crush_letter,答应见面,luck>=5,你们在操场边说了几句真心话。,对方后来再没提过那封信。,luck+1;buff:lovestruck;favor:crush+12,luck+0;favor:crush+4,,
crush_no,crush_letter,装作不知,,你把信夹进书里再也没提。,,int+1;favor:crush+2,,,
job_hard,summer_job,拼命干活,str>=5,你咬牙干完拿到第一笔自己的钱。,你累得够呛钱却没想象中多。,str+1;family+1,str+1,,
job_easy,summer_job,适可而止,,你只做了轻松的几天把夏天还给自己。,,luck+1,,,
ot_yes,boss_overtime,扛下来,int>=6,你熬过去了方案过关。,你熬了通宵方案仍被打回。,int+1;str-1,str-1,,
ot_no,boss_overtime,拒绝加班,,你按时走了空气降到冰点。,,luck+0,,,
dog_home,stray_follow,带回家,family>=5,你把它带回家家里多了喘气声。,家里人不同意你只能在门口陪它一会儿。,luck+1;family+1;tag:pet;buff:companion,luck+1,,
dog_feed,stray_follow,买点东西喂它,,你买了火腿肠看着它跑远。,,luck+1,,,
layoff_talk,layoff_notice,主动谈条件,int>=6,你谈下了补偿金把手续办得很清楚。,你争了几句仍按原方案走。,family+1;tag:laid_off;-tag:employed;buff:unemployed,tag:laid_off;-tag:employed;buff:unemployed,,
layoff_silent,layoff_notice,默默办理,,你默默办了离职把工牌放在桌上。,,str+1;tag:laid_off;-tag:employed;buff:unemployed,,,
