id,name,text,seasons,str,int,luck,family,killChance
grief,丧亲之痛,钝痛还压在胸口。,8,-1,0,-1,0,0
remembered,记得他们,有些人走了但没从你心里离开。,-1,0,0,1,0,0
upright,撑着,你把该做的事一件件做完。,-1,1,0,0,0,0
numb,发呆,那些天你几乎感觉不到自己。,6,0,-1,0,0,0
widowed,丧偶,枕边空了世界还在转。,-1,0,0,-1,0,0
hollow,心缺一块,有些位置再也填不上。,-1,-1,0,-1,0,0
vigor,精力充沛,身体里像有多出来的风。,6,1,0,0,0,-0.01
praised,被看见,有人认真夸过你。,8,0,1,1,0,0
mentored,有人指点,前辈的话还在耳边。,12,0,1,1,0,0
fit,身强,锻炼留下了底子。,8,1,0,0,0,-0.01
kind,心软,你愿意多伸一次手。,8,0,0,1,0,0
bonded,有牵挂,有人把你的日子拴住了。,-1,0,0,1,1,0
frail,体弱,一场病让你虚了很久。,8,-1,0,0,0,0
peak,顺风,事情正按你的节奏走。,8,0,1,1,1,0
routine,养生,你把身体当成要保养的器具。,8,1,0,0,0,-0.01
focus,入静,夜里读书让脑子更亮。,6,0,1,0,0,0
lovestruck,心动,心里老有一个人。,6,0,0,1,0,0
companion,有伴,家里多了喘气声。,-1,0,0,1,0,-0.01
studious,开卷,你又把书拿了起来。,8,0,1,0,0,0
loved,被疼爱,长辈的温度还在。,8,0,0,1,1,0
employed_life,进入社会,工作把你的日子撑起来。,12,0,0,0,1,0
unemployed,失业,工牌不在了日子发虚。,8,0,0,-1,-1,0
reinvent,再出发,你给自己换过一条路。,10,0,1,1,0,0
blessed,心安,香火味里你觉得被接住了。,8,0,0,1,0,-0.01
calm,平静,你把呼吸放慢了。,4,0,0,1,0,0
cleared,放下,那封信让你轻了一点。,8,0,0,1,0,0
regret,后悔,有些话你到底没寄出。,6,0,-1,-1,0,0
careful,惜命,你开始把身体当回事。,-1,0,0,0,0,-0.02
recognized,被认可,那天你被当众叫上台。,8,0,0,1,1,0
parent_joy,新生命,家里多了一个要保护的人。,12,0,0,1,1,0
athletic,好身手,赛场上的风还没散。,6,1,0,1,0,0
caregiver,照护疲惫,你把力气分给了病床。,8,-1,0,0,0,0
resilient,扛过来了,哀伤没有把你按死在原地。,-1,1,0,1,0,-0.01
lonely,空屋,家里的声音少了一截。,10,0,0,-1,-1,0
otaku_spark,二次元初开,你开始用另一套眼睛看世界。,12,0,0,1,0,0
otaku_soul,中二未褪,有些台词你会当真。,-1,0,0,1,0,0
gacha_fever,抽卡热,手指比理智快。,4,0,0,1,-1,0
cosplay_glow,舞台高光,假发还扎人但你很亮。,6,0,0,1,0,0
otherworld,异乡人,两轮月亮还印在视网膜上。,12,0,0,1,0,0
isekai_sword,剑意,木剑换成真剑后手还记得。,-1,1,0,0,0,0
isekai_mage,咏唱残留,咒语会在喉咙里发痒。,-1,0,1,0,0,0
isekai_hero,勇者刻印,预言把你写进了别人的历史。,-1,1,0,1,0,-0.01
demon_pact,魔王的石片,那枚石片夜里会发热。,-1,0,1,1,0,0
isekai_king,异世界之主,你把名字留在了两轮月亮下。,-1,1,0,1,1,0
otherworld_memory,异界残响,便利店的灯也像魔法阵。,-1,0,1,1,0,0
mana,魔力潮,指尖偶尔会跳火花。,8,0,1,0,0,0
isekai_homesick,乡愁,你梦见原来的房间灯还亮着。,6,0,0,-1,0,0
unique_skill,记忆残片,前世的味道和公式还在。,-1,0,1,0,0,0
appraisal,鉴定眼,世界被标上名字。,8,0,1,0,0,0
guild_card,公会铭牌,你被允许活在能接委托的一侧。,12,0,0,1,0,0
slime_pal,噗噗,半透明的行李有时候会保护你。,-1,0,0,1,0,-0.01
camp_cook,异界料理,盐和野草也能让人要第二碗。,8,0,0,1,0,0
hot_spring,汤治,蒸汽把一天的土洗掉了。,4,1,0,0,0,-0.01
party_bond,小队羁绊,有人记得你的名字而不是编号。,-1,0,0,1,0,0
level_up,等级提升,耳边的叮声还没散。,6,1,1,0,0,0
elf_night,林灯,树屋里的一夜像萤火。,6,0,0,1,0,0
named_blade,认主之剑,给还想回家的人。,-1,1,0,0,0,0
festival_night,星灯祭,烟火在两轮月亮之间开过。,6,0,0,1,0,0
dragon_favor,龙息,金瞳里有两轮月亮。,-1,0,0,1,0,-0.01
isekai_heal,治愈之手,光很淡但血会止。,-1,0,0,1,0,-0.01
