id,ageMin,ageMax,weight,text,require,excludeTags,addTags,effects,choices,killChance,once,tags
birth_cry,0,0,100,你降生在这个世界上，发出第一声啼哭。,,,born,family+0,,,1,
toddler_walk,1,3,10,你开始学走路，跌跌撞撞却停不下来。,,,walked,str+1,,,0,
toddler_talk,1,3,10,你咿咿呀呀地学会叫家人。,,,talked,int+1,,,0,
rich_toy,2,6,8,家里给你买了很多新奇玩具。,family>=6,,rich_kid,int+1;luck+1,,,0,resource
poor_chore,2,8,8,你很早就帮家里做杂活。,family<=4,,hard_kid,str+1;family+0,,,0,
kindergarten,3,6,12,你上了幼儿园，认识了第一个朋友。,,,kindergartner,int+1,,,1,
bully_fight,6,12,6,有人在学校欺负同学，你犹豫要不要出手。,,,school_age,,bully_help;bully_ignore,,0,
exam_primary,10,12,10,小学毕业考临近，你埋头复习。,,,primary_grad,int+1,,,1,
sports_day,8,15,8,运动会接力赛，老师看中了你。,str>=5,,sports_noted,,sports_run;sports_watch,,0,
middle_angst,12,15,7,你成绩起伏不定，老师约谈家长。,,,middle_school,int+0,,,0,
library_days,13,18,7,你泡在图书馆里，世界在书页间展开。,int>=6,,bookworm,int+1,,,0,
street_workout,13,18,7,你开始在小区健身，力量一天天涨起来。,str>=5,,fit_teen,str+1,,,0,
gaokao,17,19,20,高考来临，这是改变命运的一天。,,,gaokao_done,,gaokao_fight;gaokao_relax,,1,
college_offer,18,20,10,你收到了心仪学校的录取通知书。,int>=7;tag:gaokao_good,,college,int+1;luck+1,,,1,
work_early,18,22,8,你没有继续读书，早早进厂打工。,int<=5;tag:gaokao_done,,worker,str+1;family+1,,,1,
first_job,21,26,12,你找到了第一份正式工作。,,,employed,family+1,,,1,
startup_idea,22,35,5,朋友拉你一起创业，机会与风险并存。,luck>=6;tag:employed,,startup_touch,,startup_join;startup_refuse,,0,
office_promo,25,40,6,公司空出一个主管名额。,int>=7;tag:employed,,promoted,family+1;int+1,,,0,resource
gym_life,20,45,6,你坚持健身，身体状态很好。,str>=6,,strong_adult,str+1,,,0,
gamble_night,22,50,4,有人邀你去打牌，今晚手气难测。,luck>=5,,gambled,,gamble_play;gamble_leave,,0,
marriage,25,40,5,你遇到了愿意携手一生的人。,family>=5;luck>=4,,married,luck+1;family+1,,,1,
child_born,28,45,5,家里添了新生命，责任更重了。,tag:married,,parent,family+1,,,1,
midlife_crisis,40,50,6,深夜你问自己：这就是全部了吗？,,,midlife,,midlife_change;midlife_accept,,0,
health_scare,45,70,5,体检报告亮起黄灯，医生让你注意身体。,,,health_warn,str-1,,0.05,0,
accident,20,70,2,一场突如其来的意外降临。,,,,,,0.25,0,
invest_chance,30,55,4,有人向你推荐一个投资项目。,family>=6,,invested,,invest_yes;invest_no,,0,resource
mentor_meet,16,30,5,你遇到一位愿意指点你的前辈。,int>=5;luck>=4,,mentored,int+1;luck+1,,,1,
village_return,35,60,3,你回乡看看，旧屋还在，人也变了。,family<=5,,hometown,luck+1,,,0,
late_study,30,50,4,你决定重拾书本，给自己一次翻盘机会。,int>=6,,lifelong_learn,int+1,,,0,
retire_plan,55,70,6,你开始认真规划退休后的日子。,,,retired_plan,family+1,,,1,
peaceful_year,1,79,3,这一年没有大风大浪，只是普通地过去了。,,,,,,,0,
elder_wisdom,60,80,6,你把一生的经验讲给年轻人听。,,,elder,int+1;luck+1,,,0,
final_illness,70,80,4,病痛缠身，你感到力气在一点点离开。,,,ill,str-2,,0.35,0,
